run_id,seed,n_evals,n_gen,elapsed_sec,n_pareto,GD,IGD,IGD+,GD+,HV,Spread,Epsilon,best_f1,best_price,best_main
0,42,40000,201,4.438,4,0.028767,0.079896,0.007459,0.006664,0.000000,1.090377,10.816500,0.004215,3900.0,
1,43,40000,201,4.312,15,1.199168,0.100706,0.005722,1.146311,0.000000,1.245279,9.578086,0.003733,59180.0,
2,44,40000,201,4.320,14,0.274184,0.095223,0.012631,0.241085,0.000000,1.070446,18.120045,0.002950,19900.0,
3,45,40000,201,4.688,28,0.019351,0.084508,0.005090,0.003395,0.000000,1.293860,8.402251,0.003274,3500.0,
4,46,40000,201,4.202,5,0.024502,0.073284,0.000696,0.000549,0.000224,1.166667,4.522868,0.001763,11990.0,
5,47,40000,201,4.427,23,0.074946,0.081796,0.005248,0.006740,0.000000,1.208727,7.087245,0.002762,3700.0,
6,48,40000,201,4.595,21,0.084724,0.035864,0.001862,0.010101,0.000071,1.160924,3.551985,0.001384,15000.0,
7,49,40000,201,4.676,19,0.104946,0.090680,0.010841,0.010521,0.000000,1.210038,15.206540,0.003954,12590.0,
8,50,40000,201,4.309,10,0.071299,0.120939,0.011747,0.040398,0.000000,1.097802,18.787953,0.007322,15800.0,
9,51,40000,201,4.543,19,0.063088,0.036710,0.008564,0.006672,0.000000,1.143536,17.425746,0.003401,13200.0,
10,52,40000,201,4.564,14,0.019988,0.078498,0.004672,0.006385,0.000000,1.262272,6.149036,0.002396,12100.0,
11,53,40000,201,4.977,200,0.105244,0.030740,0.003195,0.002904,0.000128,1.306779,4.450217,0.000390,2400.0,
12,54,40000,201,4.653,8,0.089144,0.152106,0.010205,0.020773,0.000000,0.990180,22.635105,0.003784,5500.0,
13,55,40000,201,5.598,200,0.122199,0.076803,0.002646,0.006607,0.000064,1.313500,3.379721,0.000935,20900.0,
14,56,40000,201,4.555,17,0.092415,0.085068,0.004988,0.007019,0.000000,1.146866,5.817411,0.002267,2240.0,
15,57,40000,201,4.530,17,0.062997,0.259650,0.005814,0.008860,0.000033,1.192156,23.501962,0.002166,9080.0,
16,58,40000,201,4.821,44,0.052162,0.075170,0.013596,0.008521,0.000000,1.243466,19.531188,0.002953,12000.0,
17,59,40000,201,4.615,5,0.041214,0.265393,0.005589,0.005445,0.000000,1.006056,6.889601,0.002620,9000.0,
18,60,40000,201,4.201,18,0.339241,0.132906,0.012436,0.316533,0.000000,1.177745,17.955610,0.003400,24090.0,
19,61,40000,201,4.353,26,0.538387,0.200946,0.014320,0.491781,0.000000,1.216712,21.841782,0.005942,44300.0,
20,62,40000,201,5.158,200,0.010047,0.069248,0.004432,0.006961,0.000000,1.320456,9.356848,0.003646,11500.0,
21,63,40000,201,4.290,17,0.067653,0.066589,0.003083,0.003403,0.000131,1.152337,4.480082,0.001746,12670.0,
22,64,40000,201,4.532,83,0.067652,0.293870,0.008129,0.010287,0.000000,1.316784,20.120560,0.002369,7330.0,
23,65,40000,201,4.875,17,0.036148,0.068076,0.002623,0.003253,0.000379,1.250088,4.241649,0.001077,4500.0,
24,66,40000,201,4.617,20,0.491806,0.132420,0.010322,0.425820,0.000000,1.201918,11.581918,0.002393,28770.0,
25,67,40000,201,4.462,12,0.039752,0.085093,0.004464,0.008540,0.000055,1.225821,15.907714,0.001936,12590.0,
26,68,40000,201,4.411,18,0.197886,0.196376,0.007503,0.106007,0.000000,1.232117,14.416602,0.003480,20780.0,
27,69,40000,201,4.523,13,0.025687,0.068614,0.003552,0.003633,0.000000,1.115241,6.802661,0.002651,4500.0,
28,70,40000,201,4.805,6,0.000807,0.339367,0.001566,0.000807,0.000000,0.000000,7.244310,0.002823,8000.0,
29,71,40000,201,4.690,17,1.300508,0.078547,0.023822,1.270125,0.000000,1.203752,28.847861,0.003183,35000.0,
